name,terminology,code,term
diabetes_other,SNOMED-CT,237620003,Abnormal metabolic state due to diabetes mellitus (disorder)
diabetes_other,SNOMED-CT,237621004,Severe hyperglycemia due to diabetes mellitus (disorder)
diabetes_other,SNOMED-CT,237622006,Poor glycemic control (disorder)
diabetes_type2,SNOMED-CT,237627000,Pregnancy and type 2 diabetes mellitus
diabetes_other,SNOMED-CT,237632004,Hypoglycemic event due to diabetes (disorder)
diabetes_other,SNOMED-CT,237633009,Hypoglycemia due to diabetes mellitus (disorder)
diabetes_other,SNOMED-CT,237635002,Nocturnal hypoglycemia due to diabetes mellitus (disorder)
diabetes_other,SNOMED-CT,237650006,Insulin resistance in diabetes (disorder)
diabetes_other,SNOMED-CT,237652003,Insulin resistance - type B
diabetes_other,SNOMED-CT,238981002,Disorder of soft tissue due to diabetes mellitus
diabetes_other,SNOMED-CT,238982009,Dermopathy due to diabetes mellitus
diabetes_other,SNOMED-CT,238983004,Thick skin syndrome due to diabetes mellitus (disorder)
diabetes_other,SNOMED-CT,238984005,Rubeosis faciei due to diabetes mellitus (disorder)
diabetes_other,SNOMED-CT,24203005,"Extreme insulin resistance with acanthosis nigricans, hirsutism AND abnormal insulin receptors"
diabetes_type1,SNOMED-CT,243421000119104,Proteinuria due to type 1 diabetes mellitus (disorder)
diabetes_type2,SNOMED-CT,24471000000103,Type 2 diabetic on insulin
diabetes_type2,SNOMED-CT,24481000000101,Type 2 diabetic on diet only
diabetes_other,SNOMED-CT,25093002,Disorder of eye due to diabetes mellitus (disorder)
diabetes_other,SNOMED-CT,25412000,Microaneurysm of retinal artery due to diabetes mellitus (disorder)
diabetes_other,SNOMED-CT,25907005,Diabetic gangrene (disorder)
diabetes_other,SNOMED-CT,26298008,Ketoacidotic coma due to diabetes mellitus (disorder)
diabetes_other,SNOMED-CT,267467004,Diabetes mellitus (& [ketoacidosis])
diabetes_other,SNOMED-CT,267471001,Diabetes + eye manifestation (& [cataract] or [retinopathy])
diabetes_other,SNOMED-CT,267604001,Myasthenic syndrome due to diabetic mellitus
diabetes_other,SNOMED-CT,268519009,Diabetic - poor control
diabetes_other,SNOMED-CT,2751001,Fibrocalculous pancreatic diabetes
diabetes_type1,SNOMED-CT,279291000000109,Diabetes type 1 review (regime/therapy)
diabetes_type2,SNOMED-CT,279321000000104,Diabetes type 2 review (regime/therapy)
diabetes_other,SNOMED-CT,280137006,Diabetic foot
diabetes_type1,SNOMED-CT,28032008,Insulin dependent diabetes mellitus type IB (disorder)
diabetes_type2,SNOMED-CT,28331000119107,Retinal edema due to type 2 diabetes mellitus (disorder)
diabetes_other,SNOMED-CT,284449005,Congenital total lipodystrophy (disorder)
diabetes_other,SNOMED-CT,28453007,Maturity onset diabetes mellitus in young (disorder)
